54027 silly lifecycle debug@4.1.1~preinstall: no script for preinstall, continuing
56588 silly linkStuff imurmurhash@0.1.4 is part of a global install
56589 silly linkStuff imurmurhash@0.1.4 is installed into a global node_modules
56590 verbose linkBins imurmurhash@0.1.4
56591 verbose linkMans imurmurhash@0.1.4
56592 silly build indent-string@3.2.0
56593 info linkStuff indent-string@3.2.0
56594 silly linkStuff indent-string@3.2.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56595 silly linkStuff indent-string@3.2.0 is part of a global install
56596 silly linkStuff indent-string@3.2.0 is installed into a global node_modules
56597 verbose linkBins indent-string@3.2.0
56598 verbose linkMans indent-string@3.2.0
56599 silly build aggregate-error@1.0.0
56600 info linkStuff aggregate-error@1.0.0
56601 silly linkStuff aggregate-error@1.0.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56602 silly linkStuff aggregate-error@1.0.0 is part of a global install
56603 silly linkStuff aggregate-error@1.0.0 is installed into a global node_modules
56604 verbose linkBins aggregate-error@1.0.0
56605 verbose linkMans aggregate-error@1.0.0
56606 silly build inherits@2.0.3
56607 info linkStuff inherits@2.0.3
56608 silly linkStuff inherits@2.0.3 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56609 silly linkStuff inherits@2.0.3 is part of a global install
56610 silly linkStuff inherits@2.0.3 is installed into a global node_modules
56611 verbose linkBins inherits@2.0.3
56612 verbose linkMans inherits@2.0.3
56613 silly build ini@1.3.5
56614 info linkStuff ini@1.3.5
56615 silly linkStuff ini@1.3.5 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56616 silly linkStuff ini@1.3.5 is part of a global install
56617 silly linkStuff ini@1.3.5 is installed into a global node_modules
56618 verbose linkBins ini@1.3.5
56619 verbose linkMans ini@1.3.5
56620 silly build global-dirs@0.1.1
56621 info linkStuff global-dirs@0.1.1
56622 silly linkStuff global-dirs@0.1.1 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56623 silly linkStuff global-dirs@0.1.1 is part of a global install
56624 silly linkStuff global-dirs@0.1.1 is installed into a global node_modules
56625 verbose linkBins global-dirs@0.1.1
56626 verbose linkMans global-dirs@0.1.1
56627 silly build import-global@0.1.0
56628 info linkStuff import-global@0.1.0
56629 silly linkStuff import-global@0.1.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56630 silly linkStuff import-global@0.1.0 is part of a global install
56631 silly linkStuff import-global@0.1.0 is installed into a global node_modules
56632 verbose linkBins import-global@0.1.0
56633 verbose linkMans import-global@0.1.0
56634 silly build ipaddr.js@1.8.0
56635 info linkStuff ipaddr.js@1.8.0
56636 silly linkStuff ipaddr.js@1.8.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56637 silly linkStuff ipaddr.js@1.8.0 is part of a global install
56638 silly linkStuff ipaddr.js@1.8.0 is installed into a global node_modules
56639 verbose linkBins ipaddr.js@1.8.0
56640 verbose linkMans ipaddr.js@1.8.0
56641 silly build is-binary-path@1.0.1
56642 info linkStuff is-binary-path@1.0.1
56643 silly linkStuff is-binary-path@1.0.1 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56644 silly linkStuff is-binary-path@1.0.1 is part of a global install
56645 silly linkStuff is-binary-path@1.0.1 is installed into a global node_modules
56646 verbose linkBins is-binary-path@1.0.1
56647 verbose linkMans is-binary-path@1.0.1
56648 silly build is-buffer@1.1.6
56649 info linkStuff is-buffer@1.1.6
56650 silly linkStuff is-buffer@1.1.6 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56651 silly linkStuff is-buffer@1.1.6 is part of a global install
56652 silly linkStuff is-buffer@1.1.6 is installed into a global node_modules
56653 verbose linkBins is-buffer@1.1.6
56654 verbose linkMans is-buffer@1.1.6
56655 silly build kind-of@3.2.2
56656 info linkStuff kind-of@3.2.2
56657 silly linkStuff kind-of@3.2.2 has /usr/local/lib/node_modules/@vue/cli/node_modules/is-accessor-descriptor/node_modules as its parent node_modules
56658 silly linkStuff kind-of@3.2.2 is part of a global install
56659 silly linkStuff kind-of@3.2.2 is installed into a global node_modules
56660 verbose linkBins kind-of@3.2.2
56661 verbose linkMans kind-of@3.2.2
56662 silly build is-accessor-descriptor@0.1.6
56663 info linkStuff is-accessor-descriptor@0.1.6
56664 silly linkStuff is-accessor-descriptor@0.1.6 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56665 silly linkStuff is-accessor-descriptor@0.1.6 is part of a global install
56666 silly linkStuff is-accessor-descriptor@0.1.6 is installed into a global node_modules
56667 verbose linkBins is-accessor-descriptor@0.1.6
56668 verbose linkMans is-accessor-descriptor@0.1.6
56669 silly build kind-of@4.0.0
56670 info linkStuff kind-of@4.0.0
56671 silly linkStuff kind-of@4.0.0 has /usr/local/lib/node_modules/@vue/cli/node_modules/has-values/node_modules as its parent node_modules
56672 silly linkStuff kind-of@4.0.0 is part of a global install
56673 silly linkStuff kind-of@4.0.0 is installed into a global node_modules
56674 verbose linkBins kind-of@4.0.0
56675 verbose linkMans kind-of@4.0.0
56676 silly build is-callable@1.1.4
56677 info linkStuff is-callable@1.1.4
56678 silly linkStuff is-callable@1.1.4 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56679 silly linkStuff is-callable@1.1.4 is part of a global install
56680 silly linkStuff is-callable@1.1.4 is installed into a global node_modules
56681 verbose linkBins is-callable@1.1.4
56682 verbose linkMans is-callable@1.1.4
56683 silly build is-ci@1.2.1
56684 info linkStuff is-ci@1.2.1
56685 silly linkStuff is-ci@1.2.1 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56686 silly linkStuff is-ci@1.2.1 is part of a global install
56687 silly linkStuff is-ci@1.2.1 is installed into a global node_modules
56688 verbose linkBins is-ci@1.2.1
56689 verbose link bins [ { 'is-ci': 'bin.js' },
56689 verbose link bins   '/usr/local/lib/node_modules/@vue/cli/node_modules/.bin',
56689 verbose link bins   false ]
56690 verbose linkMans is-ci@1.2.1
56691 silly gentlyRm /usr/local/lib/node_modules/@vue/cli/node_modules/.bin/is-ci is being purged
56692 verbose gentlyRm don't care about contents; nuking /usr/local/lib/node_modules/@vue/cli/node_modules/.bin/is-ci
56693 silly build kind-of@3.2.2
56694 info linkStuff kind-of@3.2.2
56695 silly linkStuff kind-of@3.2.2 has /usr/local/lib/node_modules/@vue/cli/node_modules/is-data-descriptor/node_modules as its parent node_modules
56696 silly linkStuff kind-of@3.2.2 is part of a global install
56697 silly linkStuff kind-of@3.2.2 is installed into a global node_modules
56698 verbose linkBins kind-of@3.2.2
56699 verbose linkMans kind-of@3.2.2
56700 silly build is-data-descriptor@0.1.4
56701 info linkStuff is-data-descriptor@0.1.4
56702 silly linkStuff is-data-descriptor@0.1.4 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56703 silly linkStuff is-data-descriptor@0.1.4 is part of a global install
56704 silly linkStuff is-data-descriptor@0.1.4 is installed into a global node_modules
56705 verbose linkBins is-data-descriptor@0.1.4
56706 verbose linkMans is-data-descriptor@0.1.4
56707 silly build is-date-object@1.0.1
56708 info linkStuff is-date-object@1.0.1
56709 silly linkStuff is-date-object@1.0.1 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56710 silly linkStuff is-date-object@1.0.1 is part of a global install
56711 silly linkStuff is-date-object@1.0.1 is installed into a global node_modules
56712 verbose linkBins is-date-object@1.0.1
56713 verbose linkMans is-date-object@1.0.1
56714 silly build kind-of@5.1.0
56715 info linkStuff kind-of@5.1.0
56716 silly linkStuff kind-of@5.1.0 has /usr/local/lib/node_modules/@vue/cli/node_modules/is-descriptor/node_modules as its parent node_modules
56717 silly linkStuff kind-of@5.1.0 is part of a global install
56718 silly linkStuff kind-of@5.1.0 is installed into a global node_modules
56719 verbose linkBins kind-of@5.1.0
56720 verbose linkMans kind-of@5.1.0
56721 silly build is-descriptor@0.1.6
56722 info linkStuff is-descriptor@0.1.6
56723 silly linkStuff is-descriptor@0.1.6 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56724 silly linkStuff is-descriptor@0.1.6 is part of a global install
56725 silly linkStuff is-descriptor@0.1.6 is installed into a global node_modules
56726 verbose linkBins is-descriptor@0.1.6
56727 verbose linkMans is-descriptor@0.1.6
56728 silly build define-property@0.2.5
56729 info linkStuff define-property@0.2.5
56730 silly linkStuff define-property@0.2.5 has /usr/local/lib/node_modules/@vue/cli/node_modules/expand-brackets/node_modules as its parent node_modules
56731 silly linkStuff define-property@0.2.5 is part of a global install
56732 silly linkStuff define-property@0.2.5 is installed into a global node_modules
56733 verbose linkBins define-property@0.2.5
56734 verbose linkMans define-property@0.2.5
56735 silly build define-property@0.2.5
56736 info linkStuff define-property@0.2.5
56737 silly linkStuff define-property@0.2.5 has /usr/local/lib/node_modules/@vue/cli/node_modules/class-utils/node_modules as its parent node_modules
56738 silly linkStuff define-property@0.2.5 is part of a global install
56739 silly linkStuff define-property@0.2.5 is installed into a global node_modules
56740 verbose linkBins define-property@0.2.5
56741 verbose linkMans define-property@0.2.5
56742 silly build is-extendable@0.1.1
56743 info linkStuff is-extendable@0.1.1
56744 silly linkStuff is-extendable@0.1.1 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56745 silly linkStuff is-extendable@0.1.1 is part of a global install
56746 silly linkStuff is-extendable@0.1.1 is installed into a global node_modules
56747 verbose linkBins is-extendable@0.1.1
56748 verbose linkMans is-extendable@0.1.1
56749 silly build extend-shallow@2.0.1
56750 info linkStuff extend-shallow@2.0.1
56751 silly linkStuff extend-shallow@2.0.1 has /usr/local/lib/node_modules/@vue/cli/node_modules/git-config-path/node_modules as its parent node_modules
56752 silly linkStuff extend-shallow@2.0.1 is part of a global install
56753 silly linkStuff extend-shallow@2.0.1 is installed into a global node_modules
56754 verbose linkBins extend-shallow@2.0.1
56755 verbose linkMans extend-shallow@2.0.1
56756 silly build extend-shallow@2.0.1
56757 info linkStuff extend-shallow@2.0.1
56758 silly linkStuff extend-shallow@2.0.1 has /usr/local/lib/node_modules/@vue/cli/node_modules/fill-range/node_modules as its parent node_modules
56759 silly linkStuff extend-shallow@2.0.1 is part of a global install
56760 silly linkStuff extend-shallow@2.0.1 is installed into a global node_modules
56761 verbose linkBins extend-shallow@2.0.1
56762 verbose linkMans extend-shallow@2.0.1
56763 silly build extend-shallow@2.0.1
56764 info linkStuff extend-shallow@2.0.1
56765 silly linkStuff extend-shallow@2.0.1 has /usr/local/lib/node_modules/@vue/cli/node_modules/extglob/node_modules as its parent node_modules
56766 silly linkStuff extend-shallow@2.0.1 is part of a global install
56767 silly linkStuff extend-shallow@2.0.1 is installed into a global node_modules
56768 verbose linkBins extend-shallow@2.0.1
56769 verbose linkMans extend-shallow@2.0.1
56770 silly build extend-shallow@2.0.1
56771 info linkStuff extend-shallow@2.0.1
56772 silly linkStuff extend-shallow@2.0.1 has /usr/local/lib/node_modules/@vue/cli/node_modules/expand-brackets/node_modules as its parent node_modules
56773 silly linkStuff extend-shallow@2.0.1 is part of a global install
56774 silly linkStuff extend-shallow@2.0.1 is installed into a global node_modules
56775 verbose linkBins extend-shallow@2.0.1
56776 verbose linkMans extend-shallow@2.0.1
56777 silly build extend-shallow@2.0.1
56778 info linkStuff extend-shallow@2.0.1
56779 silly linkStuff extend-shallow@2.0.1 has /usr/local/lib/node_modules/@vue/cli/node_modules/braces/node_modules as its parent node_modules
56780 silly linkStuff extend-shallow@2.0.1 is part of a global install
56781 silly linkStuff extend-shallow@2.0.1 is installed into a global node_modules
56782 verbose linkBins extend-shallow@2.0.1
56783 verbose linkMans extend-shallow@2.0.1
56784 silly build is-extglob@2.1.1
56785 info linkStuff is-extglob@2.1.1
56786 silly linkStuff is-extglob@2.1.1 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56787 silly linkStuff is-extglob@2.1.1 is part of a global install
56788 silly linkStuff is-extglob@2.1.1 is installed into a global node_modules
56789 verbose linkBins is-extglob@2.1.1
56790 verbose linkMans is-extglob@2.1.1
56791 silly build is-glob@3.1.0
56792 info linkStuff is-glob@3.1.0
56793 silly linkStuff is-glob@3.1.0 has /usr/local/lib/node_modules/@vue/cli/node_modules/glob-parent/node_modules as its parent node_modules
56794 silly linkStuff is-glob@3.1.0 is part of a global install
56795 silly linkStuff is-glob@3.1.0 is installed into a global node_modules
56796 verbose linkBins is-glob@3.1.0
56797 verbose linkMans is-glob@3.1.0
56798 silly build is-fullwidth-code-point@2.0.0
56799 info linkStuff is-fullwidth-code-point@2.0.0
56800 silly linkStuff is-fullwidth-code-point@2.0.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56801 silly linkStuff is-fullwidth-code-point@2.0.0 is part of a global install
56802 silly linkStuff is-fullwidth-code-point@2.0.0 is installed into a global node_modules
56803 verbose linkBins is-fullwidth-code-point@2.0.0
56804 verbose linkMans is-fullwidth-code-point@2.0.0
56805 silly build is-glob@4.0.0
56806 info linkStuff is-glob@4.0.0
56807 silly linkStuff is-glob@4.0.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56808 silly linkStuff is-glob@4.0.0 is part of a global install
56809 silly linkStuff is-glob@4.0.0 is installed into a global node_modules
56810 verbose linkBins is-glob@4.0.0
56811 verbose linkMans is-glob@4.0.0
56812 silly build is-natural-number@4.0.1
56813 info linkStuff is-natural-number@4.0.1
56814 silly linkStuff is-natural-number@4.0.1 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56815 silly linkStuff is-natural-number@4.0.1 is part of a global install
56816 silly linkStuff is-natural-number@4.0.1 is installed into a global node_modules
56817 verbose linkBins is-natural-number@4.0.1
56818 verbose linkMans is-natural-number@4.0.1
56819 silly build is-npm@1.0.0
56820 info linkStuff is-npm@1.0.0
56821 silly linkStuff is-npm@1.0.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56822 silly linkStuff is-npm@1.0.0 is part of a global install
56823 silly linkStuff is-npm@1.0.0 is installed into a global node_modules
56824 verbose linkBins is-npm@1.0.0
56825 verbose linkMans is-npm@1.0.0
56826 silly build kind-of@3.2.2
56827 info linkStuff kind-of@3.2.2
56828 silly linkStuff kind-of@3.2.2 has /usr/local/lib/node_modules/@vue/cli/node_modules/is-number/node_modules as its parent node_modules
56829 silly linkStuff kind-of@3.2.2 is part of a global install
56830 silly linkStuff kind-of@3.2.2 is installed into a global node_modules
56831 verbose linkBins kind-of@3.2.2
56832 verbose linkMans kind-of@3.2.2
56833 silly build is-number@3.0.0
56834 info linkStuff is-number@3.0.0
56835 silly linkStuff is-number@3.0.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56836 silly linkStuff is-number@3.0.0 is part of a global install
56837 silly linkStuff is-number@3.0.0 is installed into a global node_modules
56838 verbose linkBins is-number@3.0.0
56839 verbose linkMans is-number@3.0.0
56840 silly build has-values@1.0.0
56841 info linkStuff has-values@1.0.0
56842 silly linkStuff has-values@1.0.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56843 silly linkStuff has-values@1.0.0 is part of a global install
56844 silly linkStuff has-values@1.0.0 is installed into a global node_modules
56845 verbose linkBins has-values@1.0.0
56846 verbose linkMans has-values@1.0.0
56847 silly build is-obj@1.0.1
56848 info linkStuff is-obj@1.0.1
56849 silly linkStuff is-obj@1.0.1 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56850 silly linkStuff is-obj@1.0.1 is part of a global install
56851 silly linkStuff is-obj@1.0.1 is installed into a global node_modules
56852 verbose linkBins is-obj@1.0.1
56853 verbose linkMans is-obj@1.0.1
56854 silly build dot-prop@4.2.0
56855 info linkStuff dot-prop@4.2.0
56856 silly linkStuff dot-prop@4.2.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56857 silly linkStuff dot-prop@4.2.0 is part of a global install
56858 silly linkStuff dot-prop@4.2.0 is installed into a global node_modules
56859 verbose linkBins dot-prop@4.2.0
56860 verbose linkMans dot-prop@4.2.0
56861 silly build is-object@1.0.1
56862 info linkStuff is-object@1.0.1
56863 silly linkStuff is-object@1.0.1 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56864 silly linkStuff is-object@1.0.1 is part of a global install
56865 silly linkStuff is-object@1.0.1 is installed into a global node_modules
56866 verbose linkBins is-object@1.0.1
56867 verbose linkMans is-object@1.0.1
56868 silly build is-promise@2.1.0
56869 info linkStuff is-promise@2.1.0
56870 silly linkStuff is-promise@2.1.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56871 silly linkStuff is-promise@2.1.0 is part of a global install
56872 silly linkStuff is-promise@2.1.0 is installed into a global node_modules
56873 verbose linkBins is-promise@2.1.0
56874 verbose linkMans is-promise@2.1.0
56875 silly build is-property@1.0.2
56876 info linkStuff is-property@1.0.2
56877 silly linkStuff is-property@1.0.2 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56878 silly linkStuff is-property@1.0.2 is part of a global install
56879 silly linkStuff is-property@1.0.2 is installed into a global node_modules
56880 verbose linkBins is-property@1.0.2
56881 verbose linkMans is-property@1.0.2
56882 silly build generate-object-property@1.2.0
56883 info linkStuff generate-object-property@1.2.0
56884 silly linkStuff generate-object-property@1.2.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56885 silly linkStuff generate-object-property@1.2.0 is part of a global install
56886 silly linkStuff generate-object-property@1.2.0 is installed into a global node_modules
56887 verbose linkBins generate-object-property@1.2.0
56888 verbose linkMans generate-object-property@1.2.0
56889 silly build is-redirect@1.0.0
56890 info linkStuff is-redirect@1.0.0
56891 silly linkStuff is-redirect@1.0.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56892 silly linkStuff is-redirect@1.0.0 is part of a global install
56893 silly linkStuff is-redirect@1.0.0 is installed into a global node_modules
56894 verbose linkBins is-redirect@1.0.0
56895 verbose linkMans is-redirect@1.0.0
56896 silly build is-regex@1.0.4
56897 info linkStuff is-regex@1.0.4
56898 silly linkStuff is-regex@1.0.4 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56899 silly linkStuff is-regex@1.0.4 is part of a global install
56900 silly linkStuff is-regex@1.0.4 is installed into a global node_modules
56901 verbose linkBins is-regex@1.0.4
56902 verbose linkMans is-regex@1.0.4
56903 silly build is-retry-allowed@1.1.0
56904 info linkStuff is-retry-allowed@1.1.0
56905 silly linkStuff is-retry-allowed@1.1.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56906 silly linkStuff is-retry-allowed@1.1.0 is part of a global install
56907 silly linkStuff is-retry-allowed@1.1.0 is installed into a global node_modules
56908 verbose linkBins is-retry-allowed@1.1.0
56909 verbose linkMans is-retry-allowed@1.1.0
56910 silly build is-stream@1.1.0
56911 info linkStuff is-stream@1.1.0
56912 silly linkStuff is-stream@1.1.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56913 silly linkStuff is-stream@1.1.0 is part of a global install
56914 silly linkStuff is-stream@1.1.0 is installed into a global node_modules
56915 verbose linkBins is-stream@1.1.0
56916 verbose linkMans is-stream@1.1.0
56917 silly build is-symbol@1.0.2
56918 info linkStuff is-symbol@1.0.2
56919 silly linkStuff is-symbol@1.0.2 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56920 silly linkStuff is-symbol@1.0.2 is part of a global install
56921 silly linkStuff is-symbol@1.0.2 is installed into a global node_modules
56922 verbose linkBins is-symbol@1.0.2
56923 verbose linkMans is-symbol@1.0.2
56924 silly build es-to-primitive@1.2.0
56925 info linkStuff es-to-primitive@1.2.0
56926 silly linkStuff es-to-primitive@1.2.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56927 silly linkStuff es-to-primitive@1.2.0 is part of a global install
56928 silly linkStuff es-to-primitive@1.2.0 is installed into a global node_modules
56929 verbose linkBins es-to-primitive@1.2.0
56930 verbose linkMans es-to-primitive@1.2.0
56931 silly build is-typedarray@1.0.0
56932 info linkStuff is-typedarray@1.0.0
56933 silly linkStuff is-typedarray@1.0.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56934 silly linkStuff is-typedarray@1.0.0 is part of a global install
56935 silly linkStuff is-typedarray@1.0.0 is installed into a global node_modules
56936 verbose linkBins is-typedarray@1.0.0
56937 verbose linkMans is-typedarray@1.0.0
56938 silly build is-windows@1.0.2
56939 info linkStuff is-windows@1.0.2
56940 silly linkStuff is-windows@1.0.2 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56941 silly linkStuff is-windows@1.0.2 is part of a global install
56942 silly linkStuff is-windows@1.0.2 is installed into a global node_modules
56943 verbose linkBins is-windows@1.0.2
56944 verbose linkMans is-windows@1.0.2
56945 silly build is-wsl@1.1.0
56946 info linkStuff is-wsl@1.1.0
56947 silly linkStuff is-wsl@1.1.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56948 silly linkStuff is-wsl@1.1.0 is part of a global install
56949 silly linkStuff is-wsl@1.1.0 is installed into a global node_modules
56950 verbose linkBins is-wsl@1.1.0
56951 verbose linkMans is-wsl@1.1.0
56952 silly build isarray@1.0.0
56953 info linkStuff isarray@1.0.0
56954 silly linkStuff isarray@1.0.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56955 silly linkStuff isarray@1.0.0 is part of a global install
56956 silly linkStuff isarray@1.0.0 is installed into a global node_modules
56957 verbose linkBins isarray@1.0.0
56958 verbose linkMans isarray@1.0.0
56959 silly build isbinaryfile@3.0.3
56960 info linkStuff isbinaryfile@3.0.3
56961 silly linkStuff isbinaryfile@3.0.3 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56962 silly linkStuff isbinaryfile@3.0.3 is part of a global install
56963 silly linkStuff isbinaryfile@3.0.3 is installed into a global node_modules
56964 verbose linkBins isbinaryfile@3.0.3
56965 verbose linkMans isbinaryfile@3.0.3
56966 silly build isexe@2.0.0
56967 info linkStuff isexe@2.0.0
56968 silly linkStuff isexe@2.0.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56969 silly linkStuff isexe@2.0.0 is part of a global install
56970 silly linkStuff isexe@2.0.0 is installed into a global node_modules
56971 verbose linkBins isexe@2.0.0
56972 verbose linkMans isexe@2.0.0
56973 silly build isobject@3.0.1
56974 info linkStuff isobject@3.0.1
56975 silly linkStuff isobject@3.0.1 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56976 silly linkStuff isobject@3.0.1 is part of a global install
56977 silly linkStuff isobject@3.0.1 is installed into a global node_modules
56978 verbose linkBins isobject@3.0.1
56979 verbose linkMans isobject@3.0.1
56980 silly build is-plain-object@2.0.4
56981 info linkStuff is-plain-object@2.0.4
56982 silly linkStuff is-plain-object@2.0.4 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56983 silly linkStuff is-plain-object@2.0.4 is part of a global install
56984 silly linkStuff is-plain-object@2.0.4 is installed into a global node_modules
56985 verbose linkBins is-plain-object@2.0.4
56986 verbose linkMans is-plain-object@2.0.4
56987 silly build is-extendable@1.0.1
56988 info linkStuff is-extendable@1.0.1
56989 silly linkStuff is-extendable@1.0.1 has /usr/local/lib/node_modules/@vue/cli/node_modules/extend-shallow/node_modules as its parent node_modules
56990 silly linkStuff is-extendable@1.0.1 is part of a global install
56991 silly linkStuff is-extendable@1.0.1 is installed into a global node_modules
56992 verbose linkBins is-extendable@1.0.1
56993 verbose linkMans is-extendable@1.0.1
56994 silly build extend-shallow@3.0.2
56995 info linkStuff extend-shallow@3.0.2
56996 silly linkStuff extend-shallow@3.0.2 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
56997 silly linkStuff extend-shallow@3.0.2 is part of a global install
56998 silly linkStuff extend-shallow@3.0.2 is installed into a global node_modules
56999 verbose linkBins extend-shallow@3.0.2
57000 verbose linkMans extend-shallow@3.0.2
57001 silly build has-value@1.0.0
57002 info linkStuff has-value@1.0.0
57003 silly linkStuff has-value@1.0.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
57004 silly linkStuff has-value@1.0.0 is part of a global install
57005 silly linkStuff has-value@1.0.0 is installed into a global node_modules
57006 verbose linkBins has-value@1.0.0
57007 verbose linkMans has-value@1.0.0
57008 silly build isstream@0.1.2
57009 info linkStuff isstream@0.1.2
57010 silly linkStuff isstream@0.1.2 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
57011 silly linkStuff isstream@0.1.2 is part of a global install
57012 silly linkStuff isstream@0.1.2 is installed into a global node_modules
57013 verbose linkBins isstream@0.1.2
57014 verbose linkMans isstream@0.1.2
57015 silly build isurl@1.0.0
57016 info linkStuff isurl@1.0.0
57017 silly linkStuff isurl@1.0.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
57018 silly linkStuff isurl@1.0.0 is part of a global install
57019 silly linkStuff isurl@1.0.0 is installed into a global node_modules
57020 verbose linkBins isurl@1.0.0
57021 verbose linkMans isurl@1.0.0
57022 silly build iterall@1.2.2
57023 info linkStuff iterall@1.2.2
57024 silly linkStuff iterall@1.2.2 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
57025 silly linkStuff iterall@1.2.2 is part of a global install
57026 silly linkStuff iterall@1.2.2 is installed into a global node_modules
57027 verbose linkBins iterall@1.2.2
57028 verbose linkMans iterall@1.2.2
57029 silly build graphql-subscriptions@1.0.0
57030 info linkStuff graphql-subscriptions@1.0.0
57031 silly linkStuff graphql-subscriptions@1.0.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
57032 silly linkStuff graphql-subscriptions@1.0.0 is part of a global install
57033 silly linkStuff graphql-subscriptions@1.0.0 is installed into a global node_modules
57034 verbose linkBins graphql-subscriptions@1.0.0
57035 verbose linkMans graphql-subscriptions@1.0.0
57036 silly build graphql@14.1.1
57037 info linkStuff graphql@14.1.1
57038 silly linkStuff graphql@14.1.1 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
57039 silly linkStuff graphql@14.1.1 is part of a global install
57040 silly linkStuff graphql@14.1.1 is installed into a global node_modules
57041 verbose linkBins graphql@14.1.1
57042 verbose linkMans graphql@14.1.1
57043 silly build javascript-stringify@1.6.0
57044 info linkStuff javascript-stringify@1.6.0
57045 silly linkStuff javascript-stringify@1.6.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
57046 silly linkStuff javascript-stringify@1.6.0 is part of a global install
57047 silly linkStuff javascript-stringify@1.6.0 is installed into a global node_modules
57048 verbose linkBins javascript-stringify@1.6.0
57049 verbose linkMans javascript-stringify@1.6.0
57050 silly build js-message@1.0.5
57051 info linkStuff js-message@1.0.5
57052 silly linkStuff js-message@1.0.5 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
57053 silly linkStuff js-message@1.0.5 is part of a global install
57054 silly linkStuff js-message@1.0.5 is installed into a global node_modules
57055 verbose linkBins js-message@1.0.5
57056 verbose linkMans js-message@1.0.5
57057 silly build js-queue@2.0.0
57058 info linkStuff js-queue@2.0.0
57059 silly linkStuff js-queue@2.0.0 has /usr/local/lib/node_modules/@vue/cli/node_modules as its parent node_modules
57060 silly linkStuff js-queue@2.0.0 is part of a global install
57061 silly linkStuff js-queue@2.0.0 is installed into a global node_modules
57062 verbose linkBins js-queue@2.0.0
57063 verbose linkMans js-queue@2.0.0
57064 silly build jsbn@0.1.1
57065 info linkStuff jsbn@0.1.1
